Vehicle ID,State,Country,Location,Repair,Reason,YEAR,Make,Body Type
2.19E+12,Arizona,United States,"Arizona, United States",Tire repair,Flat- reparable,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
2.19E+12,Arizona,United States,"Arizona, United States",Tire replacement,Flat- hole not reparable,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
2.58E+12,Arizona,United States,"Arizona, United States",Battery replacement,Dead battery,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.58E+12,Arizona,United States,"Arizona, United States",Tire repair,Flat- reparable,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.58E+12,Arizona,United States,"Arizona, United States",Tire replacement,Flat- hole not reparable,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.99E+12,Arizona,United States,"Arizona, United States",Tire repair,Flat- reparable,2018,Chevrolet Silverado,"1500 2WD Double Cab 143.5"" LT w/1LT"
2.99E+12,Arizona,United States,"Arizona, United States",Tire replacement,Flat- hole not reparable,2018,Chevrolet Silverado,"1500 2WD Double Cab 143.5"" LT w/1LT"
3.43E+12,Arizona,United States,"Arizona, United States",Dent Repair Left Fender,Collision,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
3.43E+12,Arizona,United States,"Arizona, United States",Tire repair,Flat- reparable,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
3.43E+12,Arizona,United States,"Arizona, United States",Tire replacement,Flat- hole not reparable,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
3.9E+12,Arizona,United States,"Arizona, United States",Tire repair,Flat- reparable,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
3.9E+12,Arizona,United States,"Arizona, United States",Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
4.4E+12,Arizona,United States,"Arizona, United States",Tire repair,Flat- reparable,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
4.94E+12,California,United States,"California, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.5E+12,California,United States,"California, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
6.1E+12,California,United States,"California, United States",Fender replacement,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
6.1E+12,California,United States,"California, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
6.72E+12,California,United States,"California, United States",Dent Repair Left Fender,Collision,2018,Chevrolet Silverado,"1500 2WD Double Cab 143.5"" LT w/1LT"
7.38E+12,California,United States,"California, United States",Wheel Arch,Rust,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.06E+12,California,United States,"California, United States",Dent Repair Rear,Collision,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
8.78E+12,California,United States,"California, United States",Dent Repair Left Fender,Collision,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
9.53E+12,Colorado,United States,"Colorado, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.03E+13,Colorado,United States,"Colorado, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.11E+13,Colorado,United States,"Colorado, United States",Battery replacement,Dead battery,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.11E+13,Arizona,United States,"Arizona, United States",Tire replacement,Flat- hole not reparable,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.11E+13,Colorado,United States,"Colorado, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.19E+13,Colorado,United States,"Colorado, United States",Windshield replacement,Crack,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.28E+13,Colorado,United States,"Colorado, United States",Battery replacement,Dead battery,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.37E+13,Colorado,United States,"Colorado, United States",Tire repair,Flat- reparable,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.46E+13,Colorado,United States,"Colorado, United States",Tire repair,Flat- reparable,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
1.56E+13,Colorado,United States,"Colorado, United States",Dent Repair Left Fender,Collision,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
1.56E+13,Colorado,United States,"Colorado, United States",Windshield replacement,Crack,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
1.66E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.66E+13,Connecticut,United States,"Connecticut, United States",Fuel tank,Hole,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.66E+13,Connecticut,United States,"Connecticut, United States",Wheel Arch,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.76E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.76E+13,Connecticut,United States,"Connecticut, United States",Cab corner panel,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.87E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.87E+13,Connecticut,United States,"Connecticut, United States",Fender replacement,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.98E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.98E+13,Connecticut,United States,"Connecticut, United States",Shocks,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.98E+13,Connecticut,United States,"Connecticut, United States",Struts,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
2.09E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.09E+13,Connecticut,United States,"Connecticut, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.2E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.2E+13,Connecticut,United States,"Connecticut, United States",Rocker Panel,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.32E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.44E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.56E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.69E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.82E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.95E+13,Connecticut,United States,"Connecticut, United States",Dent Repair Rear,Collision,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
3.09E+13,Connecticut,United States,"Connecticut, United States",Fuel tank,Hole,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
3.23E+13,Connecticut,United States,"Connecticut, United States",Brake line replacement,Corrosion,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
3.23E+13,Connecticut,United States,"Connecticut, United States",Tire repair,Flat- reparable,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
3.37E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
3.37E+13,District of Columbia,United States,"District of Columbia, United States",Fuel tank,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
3.37E+13,District of Columbia,United States,"District of Columbia, United States",Shocks,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
3.37E+13,District of Columbia,United States,"District of Columbia, United States",Struts,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
3.37E+13,District of Columbia,United States,"District of Columbia, United States",Tire replacement,Flat- hole not reparable,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
3.51E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.51E+13,District of Columbia,United States,"District of Columbia, United States",Cab corner panel,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.51E+13,District of Columbia,United States,"District of Columbia, United States",Fuel tank,Hole,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.66E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.66E+13,District of Columbia,United States,"District of Columbia, United States",Fender replacement,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.66E+13,District of Columbia,United States,"District of Columbia, United States",Rocker Panel,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.66E+13,District of Columbia,United States,"District of Columbia, United States",Wheel Arch,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.81E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
3.81E+13,District of Columbia,United States,"District of Columbia, United States",Dent Repair Rear,Collision,2018,Chevrolet Silverado,"1500 2WD Double Cab 143.5"" LT w/1LT"
3.96E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.12E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.28E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.44E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.61E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.78E+13,District of Columbia,United States,"District of Columbia, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
4.95E+13,District of Columbia,United States,"District of Columbia, United States",Wheel Arch,Rust,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
5.13E+13,District of Columbia,United States,"District of Columbia, United States",Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
5.31E+13,Delaware,United States,"Delaware, United States",Brake line replacement,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.31E+13,Delaware,United States,"Delaware, United States",Dent Repair Left Fender,Collision,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.49E+13,Delaware,United States,"Delaware, United States",Brake line replacement,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.49E+13,Delaware,United States,"Delaware, United States",Rocker Panel,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,Delaware,United States,"Delaware, United States",Brake line replacement,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,Delaware,United States,"Delaware, United States",Fender replacement,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,Delaware,United States,"Delaware, United States",Shocks,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,Delaware,United States,"Delaware, United States",Struts,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.67E+13,Delaware,United States,"Delaware, United States",Wheel Arch,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.86E+13,Delaware,United States,"Delaware, United States",Cab corner panel,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.86E+13,Delaware,United States,"Delaware, United States",Dent Repair Left Fender,Collision,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.05E+13,Delaware,United States,"Delaware, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.05E+13,Delaware,United States,"Delaware, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.24E+13,Delaware,United States,"Delaware, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.24E+13,Delaware,United States,"Delaware, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.44E+13,Delaware,United States,"Delaware, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.44E+13,Delaware,United States,"Delaware, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.64E+13,Delaware,United States,"Delaware, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
6.84E+13,Delaware,United States,"Delaware, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.05E+13,Delaware,United States,"Delaware, United States",Fuel tank,Hole,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
7.26E+13,Delaware,United States,"Delaware, United States",Tire repair,Flat- reparable,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
7.47E+13,Florida,United States,"Florida, United States",Battery replacement,Dead battery,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
7.68E+13,Florida,United States,"Florida, United States",Fender replacement,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
7.68E+13,Florida,United States,"Florida, United States",Tire repair,Flat- reparable,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
7.9E+13,Florida,United States,"Florida, United States",Battery replacement,Dead battery,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.9E+13,Florida,United States,"Florida, United States",Tire repair,Flat- reparable,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.9E+13,Florida,United States,"Florida, United States",Tire replacement,Flat- hole not reparable,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
8.12E+13,Florida,United States,"Florida, United States",Tire repair,Flat- reparable,2018,Chevrolet Silverado,"1500 2WD Double Cab 143.5"" LT w/1LT"
8.12E+13,Florida,United States,"Florida, United States",Tire replacement,Flat- hole not reparable,2018,Chevrolet Silverado,"1500 2WD Double Cab 143.5"" LT w/1LT"
8.35E+13,Florida,United States,"Florida, United States",Dent Repair Left Fender,Collision,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.35E+13,Florida,United States,"Florida, United States",Tire repair,Flat- reparable,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.35E+13,Florida,United States,"Florida, United States",Tire replacement,Flat- hole not reparable,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.35E+13,Florida,United States,"Florida, United States",Wheel Arch,Rust,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
8.57E+13,Florida,United States,"Florida, United States",Tire repair,Flat- reparable,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
8.8E+13,Georgia,United States,"Georgia, United States",Battery replacement,Dead battery,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
9.04E+13,Georgia,United States,"Georgia, United States",Windshield replacement,Crack,2018,Chevrolet Silverado,"1500 2WD Double Cab 143.5"" LT w/1LT"
9.27E+13,Georgia,United States,"Georgia, United States",Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
9.51E+13,Georgia,United States,"Georgia, United States",Tire replacement,Flat- hole not reparable,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
9.51E+13,Georgia,United States,"Georgia, United States",Windshield replacement,Crack,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
9.75E+13,Iowa,United States,"Iowa, United States",Cab corner panel,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
9.75E+13,Iowa,United States,"Iowa, United States",Fender replacement,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
9.75E+13,Iowa,United States,"Iowa, United States",Shocks,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
9.75E+13,Iowa,United States,"Iowa, United States",Struts,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
9.75E+13,Iowa,United States,"Iowa, United States",Tire repair,Flat- reparable,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1E+14,Iowa,United States,"Iowa, United States",Struts,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1E+14,Iowa,United States,"Iowa, United States",Wheel Arch,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.02E+14,Iowa,United States,"Iowa, United States",Battery replacement,Dead battery,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.02E+14,Iowa,United States,"Iowa, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.02E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,Iowa,United States,"Iowa, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,Iowa,United States,"Iowa, United States",Cab corner panel,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,Iowa,United States,"Iowa, United States",Fender replacement,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.05E+14,Iowa,United States,"Iowa, United States",Rocker Panel,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.08E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.08E+14,Iowa,United States,"Iowa, United States",Rocker Panel,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.08E+14,Iowa,United States,"Iowa, United States",Wheel Arch,Rust,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.1E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.13E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.13E+14,Iowa,United States,"Iowa, United States",Transmission,slips in and out of gear,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
1.15E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.18E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.18E+14,Iowa,United States,"Iowa, United States",Fuel tank,Hole,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.18E+14,Iowa,United States,"Iowa, United States",Tire replacement,Flat- hole not reparable,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.21E+14,Idaho,United States,"Idaho, United States",Battery replacement,Dead battery,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.21E+14,Idaho,United States,"Idaho, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.23E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.23E+14,Idaho,United States,"Idaho, United States",Tire repair,Flat- reparable,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.26E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.29E+14,Idaho,United States,"Idaho, United States",Dent Repair Rear,Collision,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.29E+14,Iowa,United States,"Iowa, United States",Fuel tank,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.29E+14,Idaho,United States,"Idaho, United States",Tire replacement,Flat- hole not reparable,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
1.29E+14,Idaho,United States,"Idaho, United States",Windshield replacement,Crack,2019,Chevrolet Silverado,1500 LD 4WD Double Cab LT w/1LT
1.32E+14,Illinois,United States,"Illinois, United States",Cab corner panel,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,Illinois,United States,"Illinois, United States",Fuel tank,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,Illinois,United States,"Illinois, United States",Fuel tank,Hole,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,Illinois,United States,"Illinois, United States",Shocks,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,Illinois,United States,"Illinois, United States",Struts,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.32E+14,Illinois,United States,"Illinois, United States",Wheel Arch,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.35E+14,Illinois,United States,"Illinois, United States",Fender replacement,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.35E+14,Illinois,United States,"Illinois, United States",Fuel tank,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.35E+14,Illinois,United States,"Illinois, United States",Rocker Panel,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.35E+14,Illinois,United States,"Illinois, United States",Struts,Rust,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.38E+14,Illinois,United States,"Illinois, United States",Fuel tank,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.4E+14,Illinois,United States,"Illinois, United States",Fuel tank,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.43E+14,Illinois,United States,"Illinois, United States",Fuel tank,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.46E+14,Illinois,United States,"Illinois, United States",Fuel tank,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.49E+14,Illinois,United States,"Illinois, United States",Fuel tank,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.52E+14,Illinois,United States,"Illinois, United States",Fuel tank,Corrosion,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.55E+14,Illinois,United States,"Illinois, United States",Brake line replacement,Corrosion,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
